created_at,iteration,genome_id,objective_score,roi_percent,profit,grade_hit_count,high_grade_hit_count,max_main_match,rank_3,rank_4,rank_5,rank_6,best_objective_score,best_roi_percent,best_profit
2026-07-05T00:05:56.767844+00:00,1,g001_0001_9065,14138.48,17.234,-415900,67,2,5,0,2,26,39,14138.48,17.234,-415900
2026-07-05T00:07:41.258432+00:00,2,g002_0002_9574,7793.38,13.234,-436000,64,0,4,0,0,19,45,14138.48,17.234,-415900
2026-07-05T00:09:27.097403+00:00,3,g003_0003_9235,9836.15,12.299,-440700,54,1,5,0,1,18,35,14138.48,17.234,-415900
2026-07-05T00:10:00.881548+00:00,4,g004_0004_7176,7286.46,11.483,-444800,56,0,4,0,0,19,37,14138.48,17.234,-415900
2026-07-05T00:10:19.317854+00:00,5,g005_0005_2325,9402.59,10.627,-449100,48,1,5,0,1,18,29,14138.48,17.234,-415900
2026-07-05T00:10:52.762931+00:00,6,g006_0006_7617,7503.91,11.582,-444300,55,0,4,0,0,21,34,14138.48,17.234,-415900
2026-07-05T00:13:46.251007+00:00,7,g007_0007_6783,7180.23,10.547,-449500,50,0,4,0,0,21,29,14138.48,17.234,-415900
2026-07-05T00:14:19.912220+00:00,8,g008_0008_7711,16596.85,17.095,-416600,60,4,5,0,4,13,43,16596.85,17.095,-416600
2026-07-05T00:19:02.814481+00:00,9,g009_0009_7023,10030.61,12.179,-441300,53,1,5,0,1,20,32,16596.85,17.095,-416600
2026-07-05T00:20:03.038101+00:00,10,g010_0010_5036,10646.76,12.876,-437800,54,1,5,0,1,24,29,16596.85,17.095,-416600
2026-07-05T00:20:36.421073+00:00,11,g011_0011_4564,15069.27,15.861,-422800,64,3,5,0,3,18,43,16596.85,17.095,-416600
2026-07-05T00:21:36.363725+00:00,12,g012_0012_6634,6722.52,10.169,-451400,49,0,4,0,0,18,31,16596.85,17.095,-416600
2026-07-05T00:26:19.532228+00:00,13,g013_0013_3335,14574.76,15.085,-426700,51,3,5,0,3,19,29,16596.85,17.095,-416600
2026-07-05T00:26:29.940878+00:00,14,g014_0014_2906,12841.53,14.149,-431400,56,2,5,0,2,22,32,16596.85,17.095,-416600
2026-07-05T00:26:40.246672+00:00,15,g015_0015_6984,7086.2,11.204,-446200,55,0,4,0,0,18,37,16596.85,17.095,-416600
2026-07-05T00:26:58.681848+00:00,16,g016_0016_9076,9305.24,12.318,-440600,54,1,5,0,1,14,39,16596.85,17.095,-416600
2026-07-05T00:28:43.701896+00:00,17,g017_0017_4645,13762.06,16.478,-419700,63,2,5,0,2,25,36,16596.85,17.095,-416600
2026-07-05T00:30:28.670018+00:00,18,g018_0018_3421,8742.3,12.995,-437200,60,0,4,0,0,28,32,16596.85,17.095,-416600
2026-07-05T00:31:02.232938+00:00,19,g019_0019_8076,7687.25,12.1,-441700,58,0,4,0,0,21,37,16596.85,17.095,-416600
2026-07-05T00:42:31.436719+00:00,20,g020_0020_4380,9290.61,12.179,-441300,54,1,5,0,1,14,39,16596.85,17.095,-416600
2026-07-05T00:43:05.321633+00:00,21,g021_0021_3369,11971.55,13.493,-434700,49,2,5,0,2,18,29,16596.85,17.095,-416600
2026-07-05T00:54:25.446088+00:00,22,g022_0022_8133,11906.27,13.652,-433900,50,2,5,0,2,17,31,16596.85,17.095,-416600
2026-07-05T00:54:58.557298+00:00,23,g023_0023_8254,11030.7,14.408,-430100,65,1,5,0,1,22,42,16596.85,17.095,-416600
2026-07-05T01:06:14.583278+00:00,24,g024_0024_7146,13197.76,15.085,-426700,62,2,5,0,2,22,38,16596.85,17.095,-416600
2026-07-05T01:09:08.403811+00:00,25,g025_0025_9066,15125.45,15.9,-422600,56,3,5,0,3,21,32,16596.85,17.095,-416600
2026-07-05T01:09:18.616133+00:00,26,g026_0026_8297,15261.44,18.328,-410400,73,2,5,0,2,32,39,16596.85,17.095,-416600
2026-07-05T01:09:36.833212+00:00,27,g027_0027_6215,13198.16,16.279,-420700,62,2,5,0,2,21,39,16596.85,17.095,-416600
2026-07-05T01:09:47.221563+00:00,28,g028_0028_8674,8897.99,14.03,-432000,64,0,4,0,0,27,37,16596.85,17.095,-416600
2026-07-05T01:10:21.214089+00:00,29,g029_0029_6087,7831.06,12.279,-440800,58,0,4,0,0,22,36,16596.85,17.095,-416600
2026-07-05T01:21:40.322322+00:00,30,g030_0030_9293,6785.7,9.99,-452300,48,0,4,0,0,19,29,16596.85,17.095,-416600
2026-07-05T01:22:39.888048+00:00,31,g031_0031_1873,11406.59,14.826,-428000,64,1,5,0,1,25,38,16596.85,17.095,-416600
2026-07-05T01:27:19.070366+00:00,32,g032_0032_1656,12637.51,14.587,-429200,56,2,5,0,2,20,34,16596.85,17.095,-416600
2026-07-05T02:02:54.447314+00:00,33,g033_0033_5620,14172.59,14.826,-428000,51,3,5,0,3,16,32,16596.85,17.095,-416600
2026-07-05T02:14:04.436772+00:00,34,g034_0034_5349,7103.12,10.965,-447400,53,0,4,0,0,19,34,16596.85,17.095,-416600
2026-07-05T02:15:46.616624+00:00,35,g035_0035_2572,13330.1,15.602,-424100,58,2,5,0,2,24,32,16596.85,17.095,-416600
2026-07-05T02:17:28.542067+00:00,36,g036_0036_8909,12425.13,14.945,-427400,56,2,5,0,2,18,36,16596.85,17.095,-416600
2026-07-05T02:42:07.218025+00:00,37,g037_0037_1062,7351.74,11.323,-445600,55,0,4,0,0,20,35,16596.85,17.095,-416600
2026-07-05T02:43:50.050878+00:00,38,g038_0038_4594,13335.7,16.398,-420100,62,2,5,0,2,22,38,16596.85,17.095,-416600
2026-07-05T02:45:32.469266+00:00,39,g039_0039_8181,7824.08,11.841,-443000,56,0,4,0,0,23,33,16596.85,17.095,-416600
2026-07-05T02:50:11.511292+00:00,40,g040_0040_1198,14440.02,15.363,-425300,53,3,5,0,3,17,33,16596.85,17.095,-416600
2026-07-05T02:57:28.441039+00:00,41,g041_0041_2441,11838.19,13.413,-435100,49,2,5,0,2,17,30,16596.85,17.095,-416600
2026-07-05T02:57:38.666671+00:00,42,g042_0042_5556,10427.26,14.09,-431700,64,1,5,0,1,18,45,16596.85,17.095,-416600
2026-07-05T02:57:48.949134+00:00,43,g043_0043_2414,6748.98,10.05,-452000,47,0,4,0,0,19,28,16596.85,17.095,-416600
2026-07-05T03:02:25.291799+00:00,44,g044_0044_7056,7225.06,12.279,-440800,59,0,4,0,0,17,42,16596.85,17.095,-416600
2026-07-05T03:52:42.537064+00:00,45,g045_0045_2011,7121.22,10.766,-448400,51,0,4,0,0,20,31,16596.85,17.095,-416600
2026-07-05T03:57:18.184967+00:00,46,g046_0046_9599,11030.88,14.448,-429900,62,1,5,0,1,23,38,16596.85,17.095,-416600
2026-07-05T03:57:36.206356+00:00,47,g047_0047_5027,11173.13,14.945,-427400,67,1,5,0,1,22,44,16596.85,17.095,-416600
2026-07-05T03:57:54.237141+00:00,48,g048_0048_2888,10252.95,12.697,-438700,54,1,5,0,1,21,32,16596.85,17.095,-416600
2026-07-05T04:02:33.506778+00:00,49,g049_0049_9627,12844.33,14.547,-429400,58,2,5,0,2,21,35,16596.85,17.095,-416600
2026-07-05T04:04:16.182921+00:00,50,g050_0050_8609,10688.38,13.234,-436000,57,1,5,0,1,23,33,16596.85,17.095,-416600
2026-07-05T04:04:26.403473+00:00,51,g051_0051_2403,9858.43,12.139,-441500,52,1,5,0,1,19,32,16596.85,17.095,-416600
2026-07-05T04:04:36.719253+00:00,52,g052_0052_1803,12058.9,14.01,-432100,56,2,5,0,2,16,38,16596.85,17.095,-416600
2026-07-05T04:05:09.977726+00:00,53,g053_0053_9131,12404.23,14.746,-428400,56,2,5,0,2,18,36,16596.85,17.095,-416600
2026-07-05T04:08:01.295667+00:00,54,g054_0054_7054,10298.04,12.716,-438600,55,1,5,0,1,21,33,16596.85,17.095,-416600
2026-07-05T04:10:51.430711+00:00,55,g055_0055_6428,12357.0,13.592,-434200,49,2,5,0,2,21,26,16596.85,17.095,-416600
2026-07-05T04:13:42.956560+00:00,56,g056_0056_4115,10151.43,12.139,-441500,53,1,5,0,1,21,31,16596.85,17.095,-416600
2026-07-05T04:38:21.470355+00:00,57,g057_0057_6832,10255.93,13.134,-436500,53,1,5,0,1,21,31,16596.85,17.095,-416600
2026-07-05T04:38:31.785119+00:00,58,g058_0058_7329,12431.89,14.229,-431000,55,2,5,0,2,19,34,16596.85,17.095,-416600
2026-07-05T04:38:41.974986+00:00,59,g059_0059_9333,9115.93,11.144,-446500,49,1,5,0,1,15,33,16596.85,17.095,-416600
2026-07-05T04:38:52.231449+00:00,60,g060_0060_8376,13661.07,16.259,-420800,67,2,5,0,2,23,42,16596.85,17.095,-416600
2026-07-05T04:40:34.327334+00:00,61,g061_0061_3763,13527.89,16.219,-421000,64,2,5,0,2,23,39,16596.85,17.095,-416600
2026-07-05T04:41:07.321497+00:00,62,g062_0062_2612,10407.81,13.771,-433300,61,1,5,0,1,19,41,16596.85,17.095,-416600
2026-07-05T04:41:25.315318+00:00,63,g063_0063_6227,11956.19,13.413,-435100,55,2,5,0,2,16,37,16596.85,17.095,-416600
2026-07-05T04:58:07.394713+00:00,64,g064_0064_2743,9626.04,12.716,-438600,51,1,5,0,1,17,33,16596.85,17.095,-416600
2026-07-05T23:15:14.493371+00:00,65,g065_0065_6738,15402.45,18.109,-411500,71,2,5,0,2,34,35,16596.85,17.095,-416600
2026-07-05T23:16:13.938280+00:00,66,g066_0066_8343,10369.59,12.617,-439100,54,1,5,0,1,22,31,16596.85,17.095,-416600
2026-07-05T23:17:57.426550+00:00,67,g067_0067_6576,13003.66,15.284,-425700,57,2,5,0,2,22,33,16596.85,17.095,-416600
2026-07-05T23:18:30.808637+00:00,68,g068_0068_6875,13422.9,16.0,-422100,65,2,5,0,2,22,41,16596.85,17.095,-416600
2026-07-05T23:21:24.528445+00:00,69,g069_0069_6991,10150.05,12.498,-439700,55,1,5,0,1,20,34,16596.85,17.095,-416600
2026-07-05T23:21:34.924463+00:00,70,g070_0070_1198,10533.41,12.577,-439300,55,1,5,0,1,23,31,16596.85,17.095,-416600
2026-07-05T23:21:45.237280+00:00,71,g071_0071_7744,12511.98,14.249,-430900,60,2,5,0,2,18,40,16596.85,17.095,-416600
2026-07-05T23:29:05.516859+00:00,72,g072_0072_2552,8009.51,12.378,-440300,59,0,4,0,0,23,36,16596.85,17.095,-416600
2026-07-05T23:30:49.582249+00:00,73,g073_0073_9315,14671.92,15.562,-424300,55,3,5,0,3,18,34,16596.85,17.095,-416600
2026-07-05T23:38:09.614518+00:00,74,g074_0074_7227,7117.04,10.726,-448600,51,0,4,0,0,20,31,16596.85,17.095,-416600
2026-07-06T00:02:54.534844+00:00,75,g075_0075_7257,10114.03,12.935,-437500,56,1,5,0,1,19,36,16596.85,17.095,-416600
2026-07-06T00:52:52.722735+00:00,76,g076_0076_8709,12561.85,15.104,-426600,59,2,5,0,2,18,39,16596.85,17.095,-416600
2026-07-06T00:53:03.124139+00:00,77,g077_0077_5419,11610.12,15.164,-426300,65,1,5,0,1,26,38,16596.85,17.095,-416600
2026-07-06T00:53:36.443458+00:00,78,g078_0078_7865,7626.82,11.562,-444400,55,0,4,0,0,22,33,16596.85,17.095,-416600
2026-07-06T00:54:09.990308+00:00,79,g079_0079_8956,7911.64,11.522,-444600,53,0,4,0,0,25,28,16596.85,17.095,-416600
2026-07-06T00:54:28.230463+00:00,80,g080_0080_4025,12376.83,13.333,-435500,53,2,5,0,2,20,31,16596.85,17.095,-416600
2026-07-06T00:54:38.640577+00:00,81,g081_0081_7041,7272.68,10.647,-449000,49,0,4,0,0,22,27,16596.85,17.095,-416600
2026-07-06T00:55:11.795222+00:00,82,g082_0082_7380,7816.43,12.139,-441500,58,0,4,0,0,22,36,16596.85,17.095,-416600
2026-07-06T00:56:11.084813+00:00,83,g083_0083_1415,12936.11,15.383,-425200,61,2,5,0,2,20,39,16596.85,17.095,-416600
2026-07-06T00:57:10.498983+00:00,84,g084_0084_4584,10606.9,14.01,-432100,62,1,5,0,1,20,41,16596.85,17.095,-416600
2026-07-06T00:58:09.748073+00:00,85,g085_0085_6630,10359.85,12.896,-437700,56,1,5,0,1,21,34,16596.85,17.095,-416600
2026-07-06T01:09:24.955999+00:00,86,g086_0086_7523,10650.27,13.652,-433900,58,1,5,0,1,22,35,16596.85,17.095,-416600
2026-07-06T01:11:08.029061+00:00,87,g087_0087_7931,10255.53,11.94,-442500,53,1,5,0,1,22,30,16596.85,17.095,-416600
2026-07-06T01:35:46.356954+00:00,88,g088_0088_4055,7577.55,11.502,-444700,54,0,4,0,0,22,32,16596.85,17.095,-416600
2026-07-06T01:37:29.078605+00:00,89,g089_0089_6796,12005.3,12.995,-437200,51,2,5,0,2,18,31,16596.85,17.095,-416600
2026-07-06T01:39:11.616920+00:00,90,g090_0090_3832,12324.8,13.99,-432200,56,2,5,0,2,18,36,16596.85,17.095,-416600
2026-07-06T01:50:29.367738+00:00,91,g091_0091_4970,9352.83,11.343,-445500,48,1,5,0,1,17,30,16596.85,17.095,-416600
2026-07-06T01:50:39.646600+00:00,92,g092_0092_6531,9725.07,12.06,-441900,52,1,5,0,1,18,33,16596.85,17.095,-416600
2026-07-06T01:55:20.922827+00:00,93,g093_0093_7248,12642.17,13.851,-432900,55,2,5,0,2,21,32,16596.85,17.095,-416600
2026-07-06T01:55:53.915558+00:00,94,g094_0094_8756,12840.15,14.507,-429600,58,2,5,0,2,21,35,16596.85,17.095,-416600
2026-07-06T01:56:04.289987+00:00,95,g095_0095_8218,13463.88,16.438,-419900,68,2,5,0,2,21,45,16596.85,17.095,-416600
2026-07-06T02:07:23.792907+00:00,96,g096_0096_4368,8265.29,13.214,-436100,60,0,4,0,0,24,36,16596.85,17.095,-416600
2026-07-06T02:10:15.640745+00:00,97,g097_0097_4465,7474.16,12.08,-441800,56,0,4,0,0,20,36,16596.85,17.095,-416600
2026-07-06T02:10:25.910852+00:00,98,g098_0098_8551,8699.01,9.174,-456400,41,1,5,0,1,16,24,16596.85,17.095,-416600
2026-07-06T02:11:25.170449+00:00,99,g099_0099_8154,10440.65,13.294,-435700,54,1,5,0,1,22,31,16596.85,17.095,-416600
2026-07-06T02:13:08.584604+00:00,100,g100_0100_6472,10835.66,13.075,-436800,55,1,5,0,1,25,29,16596.85,17.095,-416600
2026-07-06T02:13:41.635476+00:00,101,g101_0101_7233,12167.44,14.129,-431500,52,2,5,0,2,18,32,16596.85,17.095,-416600
2026-07-06T02:14:40.892906+00:00,102,g102_0102_2065,11037.15,14.507,-429600,62,1,5,0,1,23,38,16596.85,17.095,-416600
2026-07-06T02:15:13.831149+00:00,103,g103_0103_9553,15225.01,15.582,-424200,62,3,5,0,3,20,39,16596.85,17.095,-416600
2026-07-06T02:16:57.446924+00:00,104,g104_0104_4136,14764.37,15.662,-423800,54,3,5,0,3,19,32,16596.85,17.095,-416600
2026-07-06T02:17:07.659654+00:00,105,g105_0105_3433,15007.92,17.552,-414300,69,2,5,0,2,32,35,16596.85,17.095,-416600
2026-07-06T02:34:01.918978+00:00,106,g106_0106_6857,12750.77,14.866,-427800,61,2,5,0,2,19,40,16596.85,17.095,-416600
2026-07-06T02:36:53.508593+00:00,107,g107_0107_6764,7836.62,11.96,-442400,56,0,4,0,0,23,33,16596.85,17.095,-416600
2026-07-06T02:48:11.326796+00:00,108,g108_0108_4021,9482.72,11.761,-443400,50,1,5,0,1,17,32,16596.85,17.095,-416600
2026-07-06T02:48:21.609043+00:00,109,g109_0109_5282,10246.68,12.637,-439000,54,1,5,0,1,21,32,16596.85,17.095,-416600
2026-07-06T02:48:54.845513+00:00,110,g110_0110_4859,7626.82,11.562,-444400,55,0,4,0,0,22,33,16596.85,17.095,-416600
2026-07-06T02:49:27.891920+00:00,111,g111_0111_9370,9510.38,11.244,-446000,49,1,5,0,1,18,30,16596.85,17.095,-416600
2026-07-06T02:50:27.184548+00:00,112,g112_0112_7007,8670.75,13.095,-436700,61,0,4,0,0,27,34,16596.85,17.095,-416600
2026-07-06T02:53:19.829209+00:00,113,g113_0113_6466,12905.72,15.96,-422300,62,2,5,0,2,19,41,16596.85,17.095,-416600
2026-07-06T02:54:18.729877+00:00,114,g114_0114_8079,13023.49,15.025,-427000,61,2,5,0,2,21,38,16596.85,17.095,-416600
2026-07-06T03:11:13.470008+00:00,115,g115_0115_5717,14125.94,17.114,-416500,67,2,5,0,2,26,39,16596.85,17.095,-416600
2026-07-06T03:11:23.729149+00:00,116,g116_0116_7258,12721.42,14.567,-429300,58,2,5,0,2,20,36,16596.85,17.095,-416600
2026-07-06T03:16:03.721994+00:00,117,g117_0117_4194,10594.7,14.408,-430100,64,1,5,0,1,19,44,16596.85,17.095,-416600
2026-07-06T03:20:42.359861+00:00,118,g118_0118_9251,10216.75,13.095,-436700,58,1,5,0,1,19,38,16596.85,17.095,-416600
2026-07-06T03:21:15.604453+00:00,119,g119_0119_4308,10375.86,12.677,-438800,54,1,5,0,1,22,31,16596.85,17.095,-416600
2026-07-06T03:21:49.025180+00:00,120,g120_0120_3170,9544.53,11.94,-442500,51,1,5,0,1,17,33,16596.85,17.095,-416600
2026-07-06T03:23:32.375377+00:00,121,g121_0121_6423,6706.51,10.388,-450300,51,0,4,0,0,17,34,16596.85,17.095,-416600
2026-07-06T03:34:46.173212+00:00,122,g122_0122_3358,8156.12,12.955,-437400,61,0,4,0,0,23,38,16596.85,17.095,-416600
2026-07-06T03:34:56.421796+00:00,123,g123_0123_6195,13422.19,15.622,-424000,63,2,5,0,2,23,38,16596.85,17.095,-416600
2026-07-06T03:35:29.695458+00:00,124,g124_0124_2516,9323.37,11.463,-444900,50,1,5,0,1,16,33,16596.85,17.095,-416600
2026-07-06T03:37:12.129734+00:00,125,g125_0125_2481,12241.6,14.607,-429100,59,2,5,0,2,16,41,16596.85,17.095,-416600
2026-07-06T03:41:55.127942+00:00,126,g126_0126_3325,9907.7,12.199,-441200,53,1,5,0,1,19,33,16596.85,17.095,-416600
2026-07-06T03:42:13.223251+00:00,127,g127_0127_3163,12204.66,15.284,-425700,64,1,5,0,1,31,32,16596.85,17.095,-416600
2026-07-06T03:43:12.552752+00:00,128,g128_0128_7324,10011.4,12.796,-438200,57,1,5,0,1,18,38,16596.85,17.095,-416600
2026-07-06T03:46:04.397810+00:00,129,g129_0129_1294,7543.58,10.846,-448000,49,0,4,0,0,24,25,16596.85,17.095,-416600
2026-07-06T03:57:22.605626+00:00,130,g130_0130_3428,12156.27,13.652,-433900,50,2,5,0,2,19,29,16596.85,17.095,-416600
2026-07-06T20:48:25.015572+00:00,131,g131_0131_1849,11984.23,14.746,-428400,66,1,5,0,1,29,36,16596.85,17.095,-416600
2026-07-06T20:50:08.602924+00:00,132,g132_0132_6777,15169.88,16.438,-419900,65,3,5,0,3,18,44,16596.85,17.095,-416600
2026-07-06T20:57:31.735893+00:00,133,g133_0133_5239,11236.57,13.055,-436900,48,2,5,0,2,13,33,16596.85,17.095,-416600
2026-07-06T21:02:11.421146+00:00,134,g134_0134_4162,12998.21,15.184,-426200,63,2,5,0,2,20,41,16596.85,17.095,-416600
2026-07-06T21:02:21.770344+00:00,135,g135_0135_4251,9551.47,11.264,-445900,47,1,5,0,1,19,27,16596.85,17.095,-416600
2026-07-06T21:04:06.085592+00:00,136,g136_0136_5049,11157.26,14.09,-431700,60,1,5,0,1,25,34,16596.85,17.095,-416600
2026-07-06T21:04:16.312612+00:00,137,g137_0137_4854,7738.41,12.577,-439300,61,0,4,0,0,20,41,16596.85,17.095,-416600
2026-07-06T21:11:41.997945+00:00,138,g138_0138_4962,9807.07,12.06,-441900,51,1,5,0,1,19,31,16596.85,17.095,-416600
2026-07-06T21:11:52.402040+00:00,139,g139_0139_1360,12782.52,14.368,-430300,57,2,5,0,2,21,34,16596.85,17.095,-416600
2026-07-06T21:19:15.088802+00:00,140,g140_0140_8487,9798.71,11.98,-442300,51,1,5,0,1,19,31,16596.85,17.095,-416600
2026-07-06T21:55:25.037117+00:00,141,g141_0141_1822,9506.07,12.06,-441900,53,1,5,0,1,16,36,16596.85,17.095,-416600
2026-07-06T21:57:09.353840+00:00,142,g142_0142_3848,12906.5,14.806,-428100,53,2,5,0,2,23,28,16596.85,17.095,-416600
2026-07-06T21:58:54.278229+00:00,143,g143_0143_5069,10339.62,11.96,-442400,52,1,5,0,1,23,28,16596.85,17.095,-416600
2026-07-06T22:01:48.389539+00:00,144,g144_0144_8992,8050.6,12.398,-440200,57,0,4,0,0,24,33,16596.85,17.095,-416600
2026-07-06T22:37:46.882339+00:00,145,g145_0145_9781,10974.85,15.104,-426600,62,1,5,0,1,22,39,16596.85,17.095,-416600
2026-07-06T22:45:12.834264+00:00,146,g146_0146_7051,10366.61,12.179,-441300,55,1,5,0,1,22,32,16596.85,17.095,-416600
2026-07-06T22:45:31.221686+00:00,147,g147_0147_7835,13739.6,16.597,-419100,68,2,5,0,2,23,43,16596.85,17.095,-416600
2026-07-06T22:45:49.529464+00:00,148,g148_0148_5801,7017.62,11.96,-442400,58,0,4,0,0,16,42,16596.85,17.095,-416600
2026-07-06T23:02:50.754759+00:00,149,g149_0149_5367,11648.76,15.085,-426700,69,1,5,0,1,25,43,16596.85,17.095,-416600
2026-07-06T23:03:50.946449+00:00,150,g150_0150_2141,10695.36,13.672,-433800,59,1,5,0,1,22,36,16596.85,17.095,-416600
2026-07-06T23:04:09.425361+00:00,151,g151_0151_7475,12662.7,14.408,-430100,60,2,5,0,2,19,39,16596.85,17.095,-416600
2026-07-06T23:04:27.749445+00:00,152,g152_0152_8880,9776.5,12.597,-439200,55,1,5,0,1,17,37,16596.85,17.095,-416600
2026-07-06T23:05:01.717370+00:00,153,g153_0153_5887,12610.29,13.214,-436100,50,2,5,0,2,23,25,16596.85,17.095,-416600
2026-07-06T23:22:06.001567+00:00,154,g154_0154_4943,9205.66,15.284,-425700,71,0,4,0,0,26,45,16596.85,17.095,-416600
2026-07-06T23:22:24.645444+00:00,155,g155_0155_4999,13608.11,15.383,-425200,65,2,5,0,2,24,39,16596.85,17.095,-416600
2026-07-06T23:22:58.542547+00:00,156,g156_0156_2777,13215.19,15.622,-424000,64,2,5,0,2,21,41,16596.85,17.095,-416600
2026-07-06T23:23:32.613245+00:00,157,g157_0157_6021,10177.22,12.756,-438400,55,1,5,0,1,20,34,16596.85,17.095,-416600
2026-07-06T23:30:59.514429+00:00,158,g158_0158_6222,15178.41,16.776,-418200,58,3,5,0,3,20,35,16596.85,17.095,-416600
2026-07-06T23:32:44.050796+00:00,159,g159_0159_7555,13385.95,14.905,-427600,61,2,5,0,2,24,35,16596.85,17.095,-416600
2026-07-06T23:32:54.686344+00:00,160,g160_0160_1905,13121.52,16.358,-420300,63,2,5,0,2,20,41,16596.85,17.095,-416600
2026-07-06T23:33:55.450677+00:00,161,g161_0161_8209,10751.62,14.169,-431300,62,1,5,0,1,21,40,16596.85,17.095,-416600
2026-07-06T23:34:29.631964+00:00,162,g162_0162_3920,14297.59,14.826,-428000,51,3,5,0,3,17,31,16596.85,17.095,-416600
2026-07-06T23:36:14.323362+00:00,163,g163_0163_6488,7090.05,10.507,-449700,48,0,4,0,0,21,27,16596.85,17.095,-416600
2026-07-06T23:41:00.205127+00:00,164,g164_0164_9775,11405.88,14.448,-429900,62,1,5,0,1,26,35,16596.85,17.095,-416600
2026-07-06T23:42:44.466165+00:00,165,g165_0165_5064,15374.38,15.443,-424900,60,3,5,0,3,22,35,16596.85,17.095,-416600
2026-07-06T23:43:18.557866+00:00,166,g166_0166_3448,7724.16,12.08,-441800,56,0,4,0,0,22,34,16596.85,17.095,-416600
2026-07-07T00:08:32.684992+00:00,167,g167_0167_5511,11348.96,14.687,-428700,63,1,5,0,1,25,37,16596.85,17.095,-416600
2026-07-07T00:09:06.537733+00:00,168,g168_0168_4117,31746.34,89.91,-50700,53,4,6,1,3,11,38,31746.34,89.91,-50700
2026-07-07T00:12:02.329778+00:00,169,g169_0169_9705,7807.54,11.721,-443600,53,0,4,0,0,24,29,31746.34,89.91,-50700
2026-07-07T00:13:02.723243+00:00,170,g170_0170_1667,7203.22,10.766,-448400,50,0,4,0,0,21,29,31746.34,89.91,-50700
2026-07-07T00:30:09.265629+00:00,171,g171_0171_8386,9299.38,11.244,-446000,47,1,5,0,1,17,29,31746.34,89.91,-50700
2026-07-07T00:30:27.959206+00:00,172,g172_0172_5546,13695.89,16.219,-421000,65,2,5,0,2,24,39,31746.34,89.91,-50700
2026-07-07T00:30:46.632531+00:00,173,g173_0173_3883,13342.46,15.682,-423700,61,2,5,0,2,23,36,31746.34,89.91,-50700
2026-07-07T00:31:47.026683+00:00,174,g174_0174_3234,7313.63,11.741,-443500,56,0,4,0,0,19,37,31746.34,89.91,-50700
2026-07-07T00:31:57.606180+00:00,175,g175_0175_2545,11240.68,14.846,-427900,63,1,5,0,1,24,38,31746.34,89.91,-50700
2026-07-07T00:32:31.312445+00:00,176,g176_0176_1063,10749.53,14.149,-431400,62,1,5,0,1,21,40,31746.34,89.91,-50700
2026-07-07T00:32:41.874804+00:00,177,g177_0177_8492,8300.64,13.512,-434600,63,0,4,0,0,23,40,31746.34,89.91,-50700
2026-07-07T00:35:35.728002+00:00,178,g178_0178_4797,12571.34,14.328,-430500,58,2,5,0,2,19,37,31746.34,89.91,-50700
